,tag,accelometer_x,accelometer_y,accelometer_z,gyroscope_x,gyroscope_y,gyroscope_z,angle,speed
40,down,-0.4549122154712677,6.514821529388428,6.854808807373047,0.018666209653019905,0.022186625748872757,-0.048647474497556686,270.7161599561409,
41,down,-0.5818088054656982,6.562707424163818,6.972128391265869,0.002172847744077444,0.03012787364423275,-0.06147564575076103,270.7161599561409,
42,down,-0.46927785873413086,6.723123550415039,7.410280704498291,-0.05341589078307152,0.046621233224868774,-0.028488922864198685,270.0,
43,down,-0.5147690773010254,6.852414608001709,7.520417213439941,-0.0393659882247448,0.10159910470247269,-0.027878057211637497,270.0,
44,down,-0.6081457734107971,6.976916790008545,7.173247337341309,0.01988793909549713,0.3276192545890808,-0.12317303568124771,270.0,
45,down,-0.7230709791183472,6.723123550415039,6.826077461242676,0.09868956357240677,0.19261802732944489,-0.16715534031391144,270.0,
46,right,-0.4429408311843872,6.88114595413208,7.0224080085754395,-0.013098783791065216,-0.03156951442360878,-0.048647474497556686,269.24115988359347,
47,right,-0.5027977228164673,6.76143217086792,7.091842174530029,0.05531812459230423,0.0008063421119004488,-0.003443447407335043,269.24115988359347,
48,right,-0.4477293789386749,6.76143217086792,6.763826370239258,0.04432254657149315,0.03623652830719948,0.014271644875407219,269.24115988359347,
49,right,-0.28013014793395996,6.787769317626953,6.706363677978516,0.004616308491677046,-0.029126055538654327,0.0038869355339556932,269.24115988359347,
50,right,-0.371112585067749,6.7710089683532715,6.7757978439331055,0.008892365731298923,-0.044397685676813126,-0.013217290863394737,269.24115988359347,
51,right,-0.4549122154712677,6.70157527923584,6.70157527923584,-0.06135714054107666,-0.0034697146620601416,-0.0028325822204351425,269.24115988359347,
52,right,-0.5315290093421936,6.742278099060059,6.850020408630371,-0.05830281227827072,-0.0028588492423295975,0.025267219170928,269.24115988359347,
53,right,-0.45730647444725037,6.845231533050537,7.163670063018799,0.018055344000458717,-0.004080579616129398,0.0429823100566864,269.24115988359347,
54,right,-0.48124924302101135,6.8069233894348145,6.7446722984313965,0.0009511171374469995,0.005082399118691683,0.020991163328289986,269.24115988359347,
55,right,-0.45012366771698,6.933819770812988,7.06071662902832,-0.039976853877305984,0.011191051453351974,0.03626279532909393,269.24115988359347,
56,right,-0.2609759569168091,6.87156867980957,7.168458938598633,0.004005443770438433,0.020354030653834343,0.03198673576116562,269.24115988359347,
57,right,-0.371112585067749,6.81171178817749,6.864386081695557,-0.010044457390904427,0.039901718497276306,0.030765006318688393,269.24115988359347,
